frame_idx_after_warmup,stamp_sec,stamp_nanosec,iou,precision,recall,f1,gt_bins,pred_bins,omega_bins,empty_union0,proc_time_ms,gt_cover_ratio,points_in_frame,total_bins
0,1769318510,537344407,0.0029112081513785865,0.0031152647975029356,0.04255319148845632,0.005805515112337565,47,642,6417,0,0.5555219995585503,0.04255319148845632,121460,16384
1,1769318516,969931311,0.0,0.0,0.0,0.0,36,641,6402,0,0.7169290001911577,0.0,121487,16384
2,1769318522,387981639,0.013215859030817598,0.013975155279481405,0.1956521739087902,0.02608695639721907,46,644,6433,0,0.7167379990278278,0.1956521739087902,121547,16384
3,1769318525,68488171,0.013100436681203639,0.013975155279481405,0.17307692307359468,0.025862068827181596,52,644,6432,0,0.35964900052931625,0.17307692307359468,121644,16384
4,1769318527,772841949,0.0030075187969879585,0.003086419753081657,0.10526315788919667,0.005997001443883756,19,648,6480,0,0.3510729984554928,0.10526315788919667,121564,16384
5,1769318529,407165817,0.004470938897161742,0.004622496147912754,0.1199999999952,0.008902077079876551,25,649,6482,0,0.3679689998534741,0.1199999999952,121486,16384
6,1769318531,38047051,0.001501501501499247,0.0015432098765408284,0.052631578944598335,0.00299850069426756,19,648,6480,0,0.36134500078333076,0.052631578944598335,121298,16384
7,1769318532,664420753,0.0,0.0,0.0,0.0,0,650,6496,0,0.371328000255744,0.0,-1,16384
8,1769318532,830486786,0.0,0.0,0.0,0.0,0,651,6505,0,0.36236800042388495,0.0,-1,16384
9,1769318533,230441949,0.0,0.0,0.0,0.0,0,654,6531,0,0.3680970003188122,0.0,120326,16384
10,1769318533,330449051,0.0,0.0,0.0,0.0,0,654,6533,0,0.3539530007401481,0.0,-1,16384
11,1769318533,430489434,0.0,0.0,0.0,0.0,0,653,6525,0,0.36198499947204255,0.0,120425,16384
12,1769318533,530632537,0.0,0.0,0.0,0.0,0,655,6548,0,0.36044899934495334,0.0,120357,16384
13,1769318533,730591894,0.0,0.0,0.0,0.0,0,658,6578,0,0.364673000149196,0.0,119884,16384
14,1769318533,830505684,0.0,0.0,0.0,0.0,0,658,6573,0,0.35609700171335135,0.0,120038,16384
15,1769318534,30468849,0.0030487804878002304,0.0030487804878002304,0.9999999995,0.0060790273495440715,2,656,6553,0,0.5007060008210829,0.9999999995,119748,16384
16,1769318535,574629884,0.003044140030436767,0.003044140030436767,0.9999999995,0.006069802725341426,2,657,6569,0,0.5207049998716684,0.9999999995,119453,16384
17,1769318537,104546341,0.0015220700152183836,0.0015220700152183836,0.9999999989999999,0.003039513674767417,1,657,6565,0,0.5421769983513514,0.9999999989999999,119439,16384
18,1769318543,443339868,0.0,0.0,0.0,0.0,2,661,6602,0,0.5689930003427435,0.0,119304,16384
19,1769318545,56645204,0.0015151515151492195,0.0015174506828505047,0.49999999975,0.0030257186021271586,2,659,6587,0,0.9411539995198837,0.49999999975,119141,16384
20,1769318546,644349073,0.0015174506828505047,0.0015174506828505047,0.9999999989999999,0.0030303030272681355,1,659,6582,0,0.357983999492717,0.9999999989999999,118961,16384
21,1769318557,272330484,0.004545454545447658,0.004552352048551514,0.7499999998125,0.009049773743635244,4,659,6589,0,0.5246410000836477,0.7499999998125,118678,16384
22,1769318559,934895234,0.003030303030298439,0.0030349013657010094,0.6666666664444444,0.006042296063466928,3,659,6585,0,0.49648100139165763,0.6666666664444444,118679,16384
23,1769318562,535684003,0.003030303030298439,0.0030349013657010094,0.6666666664444444,0.006042296063466928,3,659,6587,0,0.36137700044491794,0.6666666664444444,118328,16384
24,1769318565,50733443,0.003021148036249213,0.003025718608164863,0.6666666664444444,0.0060240963765287045,3,661,6603,0,1.0161630016227718,0.6666666664444444,118287,16384
25,1769318567,629345705,0.0015082956259404097,0.0015128593040824314,0.3333333332222222,0.0030120481837666926,3,661,6607,0,0.35859299896401353,0.3333333332222222,118464,16384
26,1769318570,230399899,0.003025718608164863,0.003030303030298439,0.6666666664444444,0.006033182494743715,3,660,6592,0,0.3802249993896112,0.6666666664444444,118236,16384
27,1769318575,435217013,0.0,0.0,0.0,0.0,2,660,6599,0,0.36697700124932453,0.0,118216,16384
28,1769318577,964641658,0.004531722054373819,0.0045385779122472944,0.7499999998125,0.009022556378992595,4,661,6603,0,0.3677770000649616,0.7499999998125,118203,16384
29,1769318580,458204620,0.004545454545447658,0.004545454545447658,0.9999999996666666,0.009049773746619983,3,660,6598,0,0.37251299909257796,0.9999999996666666,118043,16384
30,1769318588,140530270,0.004545454545447658,0.004545454545447658,0.9999999996666666,0.009049773746619983,3,660,6600,0,0.3917129997716984,0.9999999996666666,117704,16384
31,1769318595,781920522,0.003012048192766548,0.003030303030298439,0.33333333327777775,0.0060060059881322765,6,660,6598,0,0.38102500002423767,0.33333333327777775,117530,16384
32,1769318599,420103955,0.009022556390963875,0.009090909090895317,0.5454545454049586,0.017883755556370923,11,660,6595,0,0.3789450001931982,0.5454545454049586,117426,16384
33,1769318608,599729286,0.017964071856260533,0.018154311648989178,0.63157894733518,0.03529411759263409,19,661,6601,0,0.728225999409915,0.63157894733518,117266,16384
34,1769318617,872232645,0.027108433734898935,0.02727272727268595,0.8181818181446281,0.052785923691075924,22,660,6595,0,0.7835529995645629,0.8181818181446281,117236,16384
35,1769318622,540421634,0.02857142857138561,0.02878787878783517,0.7916666666336806,0.05555555548767998,24,660,6595,0,0.3704959999595303,0.7916666666336806,117148,16384
36,1769318633,702187555,0.0436090225563254,0.043939393939327366,0.8529411764455018,0.08357348693827704,34,660,6600,0,0.3741450000234181,0.8529411764455018,117226,16384
37,1769318639,384469005,0.041666666666604665,0.04223227752633148,0.7567567567363039,0.0799999998996449,37,663,6624,0,0.9363219996885164,0.7567567567363039,117256,16384
38,1769318651,798004865,0.04558823529405061,0.0466867469878815,0.6595744680710729,0.08720112505209478,47,664,6640,0,1.043938000293565,0.6595744680710729,117086,16384
39,1769318658,537227412,0.048316251830090313,0.04962406015030132,0.6470588235167244,0.09217877081715224,51,665,6647,0,0.37907300065853633,0.6470588235167244,116993,16384
40,1769318671,872611442,0.034582132564791666,0.036199095022569835,0.4363636363557025,0.06685236754636835,55,663,6628,0,0.36384099985298235,0.4363636363557025,116511,16384
41,1769318678,494756086,0.04492753623181894,0.04675716440415271,0.5344827586114744,0.08599167807650418,58,663,6629,0,0.3696969997690758,0.5344827586114744,116268,16384
42,1769318704,711644440,0.023968042609821615,0.0269461077843908,0.17821782178041368,0.0468140439849635,101,668,6674,0,0.9315860006609,0.17821782178041368,115469,16384
43,1769318730,987862618,0.04142011834313399,0.04197901049468969,0.7567567567363039,0.07954545444563937,37,667,6662,0,0.3761930001928704,0.7567567567363039,113859,16384
44,1769318772,729785628,0.04545454545447881,0.046476761619120725,0.6739130434636106,0.08695652161817893,46,667,6662,0,0.9503060009592446,0.6739130434636106,113674,16384
45,1769318830,146593763,0.06772334293938369,0.07046476761608626,0.6351351351265522,0.12685560035968466,74,667,6663,0,0.9447699994780123,0.6351351351265522,112979,16384
46,1769318840,404479179,0.0739687055475477,0.07784431137712898,0.5977011494184172,0.13774834416658918,87,668,6676,0,0.36355299926071893,0.5977011494184172,112831,16384
47,1769318941,277979408,0.06754966887408272,0.07634730538910726,0.36956521738862635,0.12655086820223632,138,668,6678,0,0.9260820006602444,0.36956521738862635,111720,16384
48,1769319007,832126016,0.04945717732201513,0.061377245508890156,0.20297029702869818,0.09425287320645263,202,668,6679,0,0.923906000025454,0.20297029702869818,111009,16384
49,1769319018,855476253,0.048780487804821394,0.06278026905820212,0.17948717948641246,0.0930232554297782,234,669,6681,0,0.378112001271802,0.17948717948641246,110819,16384
50,1769319052,65537372,0.054255319148878454,0.07634730538910726,0.15789473684161642,0.10292633659369034,323,668,6671,0,0.37753600008727517,0.15789473684161642,110077,16384
51,1769319062,686356847,0.05077720207248624,0.07335329341306385,0.1416184971094173,0.09664694235101867,346,668,6676,0,0.37100900044606533,0.1416184971094173,109769,16384
52,1769319073,800501761,0.04334677419350469,0.06427503736911169,0.1174863387974932,0.08309178698230531,366,669,6682,0,0.36355300107970834,0.1174863387974932,109492,16384
53,1769319095,35874579,0.03160919540226857,0.049253731343210067,0.08108108108088187,0.061281336577056006,407,670,6692,0,0.7780169999023201,0.08108108108088187,108943,16384
54,1769319158,900716571,0.04098360655733972,0.06716417910437737,0.09513742071861493,0.07874015699503005,473,670,6696,0,0.719585001206724,0.09513742071861493,108573,16384
55,1769319169,509331139,0.05024509803915411,0.06119402985065493,0.21925133689722326,0.09568261342755725,187,670,6692,0,0.3652159994089743,0.21925133689722326,108786,16384
56,1769319197,695893125,0.046258503401297606,0.050746268656640676,0.34343434343087437,0.08842652773382756,99,670,6694,0,1.1499859992909478,0.34343434343087437,109193,16384
57,1769319206,799404815,0.04774897680757469,0.052238805970071286,0.3571428571392128,0.09114583311045328,98,670,6693,0,0.3588169984141132,0.3571428571392128,109420,16384
58,1769319224,946024439,0.04607046070454462,0.050746268656640676,0.3333333333300654,0.08808290132484094,102,670,6696,0,0.9662419997766847,0.3333333333300654,109665,16384
59,1769319234,913965,0.04973118279563208,0.0552238805969325,0.33333333333033033,0.09475031985833847,111,670,6694,0,0.36630499926104676,0.33333333333033033,109838,16384
60,1769319289,176062897,0.06910039113419934,0.07910447761182224,0.35333333333097783,0.12926829238368234,150,670,6699,0,0.9380820010846946,0.35333333333097783,110135,16384
61,1769319317,513194237,0.07081807081798434,0.08656716417897528,0.2801932367136223,0.13226909884088106,207,670,6696,0,0.5143499984114897,0.2801932367136223,110272,16384
